Time,X,Y,Z
1746271834.22,9.69,-0.71,-1.61
1746271834.32,9.65,-0.71,-1.57
1746271834.42,9.69,-0.71,-1.61
1746271834.53,9.69,-0.71,-1.57
1746271834.63,9.69,-0.71,-1.57
1746271834.73,9.65,-0.71,-1.57
1746271834.83,9.65,-0.75,-1.49
1746271834.93,9.65,-0.71,-1.61
1746271835.03,9.65,-0.71,-1.65
1746271835.13,9.69,-0.67,-1.57
1746271835.23,9.65,-0.67,-1.61
1746271835.33,9.69,-0.78,-1.57
1746271835.44,9.69,-0.71,-1.61
1746271835.54,9.65,-0.71,-1.57
1746271835.64,9.69,-0.75,-1.61
1746271835.74,9.65,-0.75,-1.53
1746271835.84,9.69,-0.71,-1.61
1746271835.94,9.65,-0.71,-1.57
1746271836.04,9.65,-0.75,-1.57
1746271836.14,9.65,-0.71,-1.57
1746271836.25,9.65,-0.71,-1.57
1746271836.35,9.65,-0.75,-1.53
1746271836.45,9.69,-0.71,-1.57
1746271836.55,9.65,-0.71,-1.53
1746271836.65,9.65,-0.67,-1.65
1746271836.75,9.65,-0.75,-1.61
1746271836.85,17.9,-0.71,-1.53
1746271836.95,9.65,-0.71,-1.57
1746271837.05,9.65,-0.71,-1.61
1746271837.16,9.65,-0.75,-1.57
1746271837.26,9.65,-0.71,-1.57
1746271837.36,9.65,-0.71,-1.61
1746271837.46,9.69,-49.0,-1.57
1746271837.56,9.65,-0.71,-1.53
1746271837.66,9.69,-0.75,-1.61
1746271837.76,9.61,-0.67,-1.57
1746271837.86,9.65,-0.67,-1.57
1746271837.96,9.65,-0.75,-1.53
1746271838.07,9.65,-0.71,-1.57
1746271838.17,9.65,-0.71,-1.65
1746271838.27,9.65,-0.71,-1.61
1746271838.37,9.69,-0.75,-1.57
1746271838.47,9.69,-0.71,-1.57
1746271838.57,33.65,-0.71,-1.57
1746271838.67,9.69,-0.71,-1.57
1746271838.77,9.69,-0.71,-1.53
1746271838.87,9.65,-0.71,-1.61
1746271838.98,9.69,-0.75,-1.61
1746271839.08,9.65,-0.71,-1.61
1746271839.18,9.65,-0.71,-1.65
1746271839.28,9.65,-0.71,-1.61
1746271839.38,9.65,-0.71,-1.57
1746271839.48,9.65,-0.75,-1.57
1746271839.58,59.069,-0.71,-1.61
1746271839.68,9.69,-0.71,-1.61
1746271839.78,9.61,-0.71,-1.61
1746271839.89,9.61,-0.71,-1.57
1746271839.99,9.65,-0.75,-1.61
1746271840.09,9.69,-0.71,-1.61
1746271840.19,9.65,-0.71,-1.57
1746271840.29,9.65,-0.75,-1.61
1746271840.39,9.69,-0.71,-1.57
1746271840.49,9.65,-0.71,-1.53
1746271840.59,9.69,-0.71,-1.53
1746271840.69,9.65,-0.71,-1.61
1746271840.80,9.69,-0.71,-1.61
1746271840.90,9.69,-0.67,-1.61
1746271841.00,9.69,-0.75,-1.61
1746271841.10,9.65,-0.67,-1.53
1746271841.20,9.65,-0.67,-1.57
1746271841.30,9.69,-0.71,-1.57
1746271841.40,9.61,-0.71,-1.61
1746271841.50,9.65,-0.75,-1.57
1746271841.60,9.69,-0.71,-1.61
1746271841.71,9.61,-0.71,-1.49
1746271841.81,9.69,-0.71,-1.61
1746271841.91,9.61,-0.67,-1.61
1746271842.01,9.69,-0.71,-1.65
1746271842.11,9.65,-0.71,-1.57
1746271842.21,9.65,-0.75,-1.57
1746271842.31,9.65,-0.71,-1.61
1746271842.41,9.65,-0.71,-1.61
1746271842.51,9.65,-0.67,-1.57
1746271842.62,9.61,-0.71,-1.57
1746271842.72,9.69,-0.71,-1.57
1746271842.82,9.69,-0.71,-1.61
1746271842.92,9.65,-0.71,-1.61
1746271843.02,9.65,-0.75,-1.61
1746271843.12,9.65,-0.71,-1.57
1746271843.22,9.65,-0.71,-1.53
1746271843.32,9.65,-0.71,-1.61
1746271843.42,9.65,-0.71,-1.57
1746271843.53,9.69,-0.71,-1.61
1746271843.63,9.65,-0.71,-1.61
1746271843.73,9.65,-0.71,-1.61
1746271843.83,9.65,-0.67,-1.61
1746271843.93,9.65,-0.71,-1.61
1746271844.03,9.69,-0.71,-1.61
1746271844.13,9.69,-0.71,-1.53
1746271844.23,9.65,-0.71,-1.61
1746271844.33,9.65,-0.75,-1.57
1746271844.44,9.69,-0.71,-1.57
1746271844.54,9.65,-0.71,-1.61
1746271844.64,9.73,-0.67,-1.69
1746271844.74,9.65,-0.67,-1.53
1746271844.84,9.69,-0.75,-1.53
1746271844.94,9.61,-0.71,-1.57
1746271845.04,9.65,-0.75,-1.61
1746271845.14,9.65,-0.75,-1.53
1746271845.24,9.65,-0.71,-1.57
1746271845.35,9.65,-0.75,-1.53
1746271845.45,9.69,-0.75,-1.57
1746271845.55,9.65,-0.67,-1.57
1746271845.65,9.69,-0.71,-1.57
1746271845.75,9.65,-0.71,-1.57
1746271845.85,9.65,-0.75,-1.57
1746271845.95,9.65,-0.71,-1.57
1746271846.05,9.65,-0.71,-1.61
1746271846.15,9.61,-0.71,-1.57
1746271846.26,9.69,-0.71,-1.61
1746271846.36,9.65,-0.71,-1.57
1746271846.46,9.65,-0.71,-1.57
1746271846.56,9.69,-0.75,-1.57
1746271846.66,9.69,-0.71,-1.57
1746271846.76,9.69,-0.75,-1.53
1746271846.86,9.69,-0.71,-1.57
1746271846.96,9.69,-0.75,-1.65
1746271847.06,9.69,-0.75,-1.61
